instruction,output
What is Database Indexes_p?,"An index is a data structure that you build and assign on top of an existing table that basically looks through your table and tries to analyze and summarize so that it can create shortcuts. Context: https://www.youtube.com/watch?v=-qNSXK7s7_w, https://app.daily.dev/tags/database?ref=roadmapsh, https://www.google.com/search?q=database%20indexes%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=database+indexes+for+backend+developer"
What is Data replication_o?,"Data replication is the process by which data residing on a physical/virtual server(s) or cloud instance (primary instance) is continuously replicated or copied to a secondary server(s) or cloud instance (standby instance). Organizations replicate data to support high availability, backup, and/or disaster recovery. Context: https://www.youtube.com/watch?v=fUrKt-AQYtE, ]https://www.google.com/search?q=data%20replication%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=data+replication+for+backend+developer"
What is Sharding Strategy?,"Sharding strategy is a technique to split a large dataset into smaller chunks (logical shard) in which we distribute these chunks in different machines/database nodes in order to distribute the traffic load. It’s a good mechanism to improve the scalability of an application. Many databases support sharding, but not all. Context: https://en.wikipedia.org/wiki/Shard_(database_architecture), https://stackoverflow.blog/2022/03/14/how-sharding-a-database-can-make-it-faster/, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is Cap_o?,"CAP is an acronym that stands for Consistency, Availability and Partition Tolerance. According to CAP theorem, any distributed system can only guarantee two of the three properties at any point of time. You can’t guarantee all three properties at once. Context: https://www.bmc.com/blogs/cap-theorem/, https://en.wikipedia.org/wiki/CAP_theorem, https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/, https://www.ibm.com/topics/cap-theorem, https://www.youtube.com/watch?v=_RbsFXWRZ10"
What is Intro to Architectural Patterns?,"An architectural pattern is a general, reusable solution to a commonly occurring problem in software architecture within a given context. The architectural patterns address various issues in software engineering, such as computer hardware performance limitations, high availability and minimization of a business risk. Context: https://www.redhat.com/architect/14-software-architecture-patterns, https://towardsdatascience.com/10-common-software-architectural-patterns-in-a-nutshell-a0b47a1e9013, https://www.google.com/search?q=architectural%20patterns%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=architectural+patterns+for+backend+developer"
What is Monolithic architecture?,"Monolithic architecture is a pattern in which an application handles requests, executes business logic, interacts with the database, and creates the HTML for the front end. In simpler terms, this one application does many things. It’s inner components are highly coupled and deployed as one unit. It is recommended to build simple applications as a monolith for faster development cycle. Also suitable for Proof-of-Concept(PoC) projects. Context: https://microservices.io/patterns/monolithic.html, https://datamify.medium.com/monolithic-architecture-advantages-and-disadvantages-e71a603eec89, https://www.google.com/search?q=monolithic%20apps%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=monolithic+apps+for+backend+developer"
What is Microservices?,"Microservice architecture is a pattern in which highly cohesive, loosely coupled services are separately developed, maintained, and deployed. Each component handles an individual function, and when combined, the application handles an overall business function. Context: https://microservices.io/patterns/microservices.html, https://smartbear.com/learn/api-design/microservices/, https://thenewstack.io/microservices/microservices-101/, https://thenewstack.io/microservices/primer-microservices-explained/, https://thenewstack.io/microservices/, https://app.daily.dev/tags/microservices?ref=roadmapsh"
What is Serverless?,"Serverless is an architecture in which a developer builds and runs applications without provisioning or managing servers. With cloud computing/serverless, servers exist but are managed by the cloud provider. Resources are used as they are needed, on demand and often using auto scaling. Context: https://www.ibm.com/topics/serverless, https://aws.amazon.com/serverless/, https://www.youtube.com/watch?v=W_VV2Fx32_Y, https://app.daily.dev/tags/serverless?ref=roadmapsh"
What is Service Mesh?,"A service mesh is an architectural pattern for enhancing communication, security, and management between microservices in a distributed network. It employs a collection of intelligent proxies to manage service-to-service communication, ensuring high availability, efficient load balancing, and robust service discovery. Additionally, a service mesh offers advanced features like observability for monitoring network behavior, and various traffic management capabilities. In a typical service mesh setup, each microservice is paired with a proxy. This proxy, often deployed using a sidecar pattern, is responsible not only for handling communication to and from its associated microservice but also for implementing various network functionalities. These functionalities include load balancing, intelligent routing, and ensuring secure data transfer. The sidecar pattern, integral to service meshes, involves deploying the proxy as a sidecar container alongside the main microservice container, especially in Kubernetes environments. This design allows the service mesh to function independently from the microservices themselves, simplifying management and updates. Popular service mesh implementations include Istio and Linkerd, which offer robust solutions tailored to modern, cloud-based application architectures. Context: https://aws.amazon.com/what-is/service-mesh/, https://www.redhat.com/en/topics/microservices/what-is-a-service-mesh, https://www.youtube.com/watch?v=QiXK0B9FhO0, https://app.daily.dev/tags/service-mesh?ref=roadmapsh"
What is Twelve Factor?,"The Twelve-Factor App is a methodology for building scalable and maintainable software-as-a-service (SaaS) applications. It is based on a set of best practices that were identified by the authors of the methodology as being essential for building modern, cloud-native applications. The Twelve-Factor App methodology consists of the following principles: 1.Codebase: There should be a single codebase for the application, with multiple deployments. 2.Dependencies: The application should explicitly declare and isolate its dependencies. 3.Config: The application should store configuration in the environment. 4.Backing services: The application should treat backing services as attached resources. 5.Build, release, run: The application should be built, released, and run as an isolated unit. 6.Processes: The application should be executed as one or more stateless processes. 7.Port binding: The application should expose its services through port binding. 8.Concurrency: The application should scale out by adding more processes, not by adding threads. 9.Disposability: The application should be designed to start and stop quickly. 10.Dev/prod parity: The development, staging, and production environments should be as similar as possible. 11.Logs: The application should treat logs as event streams. 12.Admin processes: The application should run admin/maintenance tasks as one-off processes.  The Twelve-Factor App methodology is widely adopted by developers of SaaS applications, and it is seen as a best practice for building cloud-native applications that are scalable, maintainable, and easy to deploy. Context: https://12factor.net/, https://www.google.com/search?q=twelve-factor%20apps%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=twelve-factor+apps+for+backend+developer"
What is Intro to Design and Development Principles?,"In this section, we’ll discuss some essential design and development principles to follow while building the backend of any application. These principles will ensure that the backend is efficient, scalable, and maintainable. 1. Separation of Concerns (SoC)- Separation of Concerns is a fundamental principle that states that different functionalities of a system should be as independent as possible. This approach improves maintainability and scalability by allowing developers to work on separate components without affecting each other. Divide your backend into clear modules and layers, such as data storage, business logic, and network communication.2. Reusability- Reusability is the ability to use components, functions, or modules in multiple places without duplicating code. While designing the backend, look for opportunities where you can reuse existing code. Use techniques like creating utility functions, abstract classes, and interfaces to promote reusability and reduce redundancy. 3. Keep It Simple and Stupid (KISS)- KISS principle states that the simpler the system, the easier it is to understand, maintain, and extend. When designing the backend, try to keep the architecture and code as simple as possible. Use clear naming conventions and modular structures, and avoid over-engineering and unnecessary complexity. 4. Don’t Repeat Yourself (DRY)- Do not duplicate code or functionality across your backend. Duplication can lead to inconsistency and maintainability issues. Instead, focus on creating reusable components, functions or modules, which can be shared across different parts of the backend. 5. Scalability- A scalable system is one that can efficiently handle an increasing number of users, requests, or data. Design the backend with scalability in mind, considering factors such as data storage, caching, load balancing, and horizontal scaling (adding more instances of the backend server). 6. Security- Security is a major concern when developing any application. Always follow best practices to prevent security flaws, such as protecting sensitive data, using secure communication protocols (e.g., HTTPS), implementing authentication and authorization mechanisms, and sanitizing user inputs. 7. Testing- Testing is crucial for ensuring the reliability and stability of the backend. Implement a comprehensive testing strategy, including unit, integration, and performance tests. Use automated testing tools and set up continuous integration (CI) and continuous deployment (CD) pipelines to streamline the testing and deployment process. 8. Documentation- Proper documentation helps developers understand and maintain the backend codebase. Write clear and concise documentation for your code, explaining the purpose, functionality, and how to use it. Additionally, use comments and appropriate naming conventions to make the code itself more readable and self-explanatory. By following these design and development principles, you’ll be well on your way to creating an efficient, secure, and maintainable backend for your applications. Context: https://www.google.com/search?q=design%20and%20development%20principles%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=design+and+development+principles+for+backend+developer"
What is Gof Patterns?,"The Gang of Four (GoF) design patterns are a set of design patterns for object-oriented software development that were first described in the book “Design Patterns: Elements of Reusable Object-Oriented Software” by Erich Gamma, Richard Helm, Ralph Johnson, and John Vlissides (also known as the Gang of Four). The GoF design patterns are divided into three categories: Creational, Structural and Behavioral. 1.Creational Patterns 2.Structural Patterns 3.Behavioral Patterns Context: https://www.digitalocean.com/community/tutorials/gangs-of-four-gof-design-patterns, https://www.youtube.com/watch?v=_sa2WlAFWQo, https://www.google.com/search?q=gof%20design%20patterns%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=gof+design+patterns+for+backend+developer"
What is Domain-driven Design?,"Domain-driven design (DDD) is a software design approach focusing on modeling software to match a domain according to input from that domain’s experts. In terms of object-oriented programming, it means that the structure and language of software code (class names, class methods, class variables) should match the business domain. For example, if a software processes loan applications, it might have classes like LoanApplication and Customer, and methods such as AcceptOffer and Withdraw. DDD connects the implementation to an evolving model and it is predicated on the following goals: 1.Placing the project’s primary focus on the core domain and domain logic. 2.Basing complex designs on a model of the domain; 3.Initiating a creative collaboration between technical and domain experts to iteratively refine a conceptual model that addresses particular domain problems. Context: https://redis.io/glossary/domain-driven-design-ddd/, https://www.amazon.com/Domain-Driven-Design-Tackling-Complexity-Software/dp/0321125215, https://app.daily.dev/tags/domain-driven-design?ref=roadmapsh"
What is Test Driven Development?,"Test driven development (TDD) is the process of writing tests for software’s requirements which will fail until the software is developed to meet those requirements. Once those tests pass, then the cycle repeats to refactor code or develop another feature/requirement. In theory, this ensures that software is written to meet requirements in the simplest form, and avoids code defects. Context: https://www.guru99.com/test-driven-development.html, https://www.ibm.com/garage, https://www.youtube.com/watch?v=uGaNkTahrIw, https://app.daily.dev/tags/tdd?ref=roadmapsh"
What is CQRS_o?,"CQRS, or command query responsibility segregation, defines an architectural pattern where the main focus is to separate the approach of reading and writing operations for a data store. CQRS can also be used along with Event Sourcing pattern in order to persist application state as an ordered of sequence events, making it possible to restore data to any point in time. Context: https://learn.microsoft.com/en-us/azure/architecture/patterns/cqrs, https://www.google.com/search?q=cqrs%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=cqrs+for+backend+developer"
What is Event sourcing?,"Event sourcing is a design pattern in which the state of a system is represented as a sequence of events that have occurred over time. In an event-sourced system, changes to the state of the system are recorded as events and stored in an event store. The current state of the system is derived by replaying the events from the event store. One of the main benefits of event sourcing is that it provides a clear and auditable history of all the changes that have occurred in the system. This can be useful for debugging and for tracking the evolution of the system over time. Event sourcing is often used in conjunction with other patterns, such as Command Query Responsibility Segregation (CQRS) and domain-driven design, to build scalable and responsive systems with complex business logic. It is also useful for building systems that need to support undo/redo functionality or that need to integrate with external systems. Context: https://martinfowler.com/eaaDev/EventSourcing.html, https://app.daily.dev/tags/architecture?ref=roadmapsh, https://www.google.com/search?q=event%20sourcing%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=event+sourcing+for+backend+developer"
What is Introduction?,"Containers and virtual machines are the two most popular approaches to setting up a software infrastructure for your organization. Context: https://middleware.io/blog/containerization-vs-virtualization/, https://www.youtube.com/watch?v=1WnDHitznGY, https://app.daily.dev/tags/containers?ref=roadmapsh"
What is Kubernetes?,"Kubernetes, also known as k8s, is an open-source container orchestration platform that automates the deployment, scaling, and management of containerized applications. It provides a way to abstract the underlying infrastructure and manage applications at scale, while also offering flexibility, portability, and a rich feature set. Kubernetes has become the de facto standard for container orchestration due to its widespread adoption, active community, and ability to handle complex, multi-tiered applications. Context: https://roadmap.sh/kubernetes"
What is LXC?,"LXC is an abbreviation used for Linux Containers which is an operating system that is used for running multiple Linux systems virtually on a controlled host via a single Linux kernel. LXC is a userspace interface for the Linux kernel containment features. Through a powerful API and simple tools, it lets Linux users easily create and manage system or application containers. Context: https://linuxcontainers.org/lxc/documentation/, https://linuxcontainers.org/lxc/introduction/, https://www.youtube.com/watch?v=_KnmRdK69qM, https://www.youtube.com/watch?v=CWmkSj_B-wo"
What is Docker?,"Docker is an open-source platform that automates the deployment, scaling, and management of applications by isolating them into lightweight, portable containers. Containers are standalone executable units that encapsulate all necessary dependencies, libraries, and configuration files required for an application to run consistently across various environments. Context: https://roadmap.sh/docker, https://www.google.com/search?q=what%20is%20docker?%20guide%20for%20docker, https://www.youtube.com/results?search_query=what+is+docker%3F+for+docker"
What is Intro to Message Brokers?,"Message brokers are an inter-application communication technology to help build a common integration mechanism to support cloud-native, microservices-based, serverless, and hybrid cloud architectures. Two of the most famous message brokers are RabbitMQ and Apache Kafka Context: https://www.youtube.com/watch?v=57Qr9tk6Uxc, https://www.google.com/search?q=message%20brokers%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=message+brokers+for+backend+developer"
What is RabbitMQ_g?,"With tens of thousands of users, RabbitMQ is one of the most popular open-source message brokers. RabbitMQ is lightweight and easy to deploy on-premises and in the cloud. It supports multiple messaging protocols. RabbitMQ can be deployed in distributed and federated configurations to meet high-scale, high-availability requirements. Context: https://www.rabbitmq.com/tutorials, https://www.youtube.com/watch?v=nFxjaVmFj5E, https://www.youtube.com/watch?v=NQ3fZtyXji0, https://app.daily.dev/tags/rabbitmq?ref=roadmapsh"
What is Kafka?,"Apache Kafka is an open-source distributed event streaming platform used by thousands of companies for high-performance data pipelines, streaming analytics, data integration, and mission-critical applications. Context: https://kafka.apache.org/quickstart, https://www.youtube.com/watch?v=B5j3uNBH8X4, https://app.daily.dev/tags/kafka?ref=roadmapsh"
What is Intro to Search Engine?,"A search engine is a software program that helps people find information on the internet by using keywords or phrases. Search engines work by constantly scanning the internet and indexing every page they find, which allows them to quickly return results. Context: https://en.wikipedia.org/wiki/Search_engine"
What is Elastic Engine?,"Elastic search at its core is a document-oriented search engine. It is a document based database that lets you INSERT, DELETE , RETRIEVE and even perform analytics on the saved records. But, Elastic Search is unlike any other general purpose database you have worked with, in the past. It’s essentially a search engine and offers an arsenal of features you can use to retrieve the data stored in it, as per your search criteria. And that too, at lightning speeds Context: https://www.elastic.co/elasticsearch, https://www.elastic.co/docs, https://app.daily.dev/tags/elk?ref=roadmapsh"
What is Solr?,"Solr is highly reliable, scalable and fault tolerant, providing distributed indexing, replication and load-balanced querying, automated failover and recovery, centralized configuration and more. Solr powers the search and navigation features of many of the world’s largest internet sites. Context: https://solr.apache.org/, https://solr.apache.org/resources.html#documentation, https://www.google.com/search?q=solr%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=solr+for+backend+developer"
What is Intro and its types?,"Web servers can be either hardware or software, or perhaps a combination of the two. 1.Hardware Side: A hardware web server is a computer that houses web server software and the files that make up a website (for example, HTML documents, images, CSS stylesheets, and JavaScript files). A web server establishes a connection to the Internet and facilitates the physical data exchange with other web-connected devices. 2.Software side: A software web server has a number of software components that regulate how hosted files are accessed by online users. This is at the very least an HTTP server. Software that knows and understands HTTP and URLs (web addresses) is known as an HTTP server (the protocol your browser uses to view webpages). The content of these hosted websites is sent to the end user’s device through an HTTP server, which may be accessed via the domain names of the websites it holds. Basically, an HTTP request is made by a browser anytime it wants a file that is stored on a web server. The relevant (hardware) web server receives the request, which is then accepted by the appropriate (software) HTTP server, which then locates the requested content and returns it to the browser over HTTP. (If the server cannot locate the requested page, it responds with a 404 error.) Context: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_web_server, https://www.youtube.com/watch?v=9J1nJOivdyw, https://www.google.com/search?q=web%20servers%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=web+servers+for+backend+developer"
What is NGINX?,"NGINX is a powerful web server and uses a non-threaded, event-driven architecture that enables it to outperform Apache if configured correctly. It can also do other important things, such as load balancing, HTTP caching, or be used as a reverse proxy. Context: https://nginx.org/, https://www.youtube.com/watch?v=JKxlsvZXG7c, https://app.daily.dev/tags/nginx?ref=roadmapsh"
What is Apache?,"Apache is a free, open-source HTTP server, available on many operating systems, but mainly used on Linux distributions. It is one of the most popular options for web developers, as it accounts for over 30% of all the websites, as estimated by W3Techs. Context: https://httpd.apache.org/, https://www.youtube.com/watch?v=kaaenHXO4t4, https://app.daily.dev/tags/apache?ref=roadmapsh"
What is Caddy?,"The Caddy web server is an extensible, cross-platform, open-source web server written in Go. It has some really nice features like automatic SSL/HTTPs and a really easy configuration file. Context: https://caddyserver.com/, https://www.youtube.com/watch?v=t4naLFSlBpQ, https://www.google.com/search?q=caddy%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=caddy+for+backend+developer"
What is MS IIS?,"Internet Information Services (IIS) for Windows® Server is a flexible, secure and manageable Web server for hosting anything on the Web. Context: https://www.iis.net/, https://www.youtube.com/watch?v=1VdxPWwtISA, https://app.daily.dev/tags/.net?ref=roadmapsh"
What is Types?,"There are many ways to get real time data from the backend. Some of them are: 1.Websockets 2.Server Sent Events 3.Long Polling 4.Short Polling Context: https://www.google.com/search?q=real%20time%20data%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=real+time+data+for+backend+developer, https://www.youtube.com/watch?v=OsgrJDMPl58, https://www.pubnub.com/guides/long-polling/"
What is Server-sent Events?,"Server-Sent Events (SSE) is a technology that allows a web server to push data to a client in real-time. It uses an HTTP connection to send a stream of data from the server to the client, and the client can listen for these events and take action when they are received. SSE is useful for applications that require real-time updates, such as chat systems, stock tickers, and social media feeds. It is a simple and efficient way to establish a long-lived connection between a client and a server, and it is supported by most modern web browsers. To use SSE, the client must create an EventSource object and specify the URL of the server-side script that will send the events. The server can then send events by writing them to the response stream with the proper formatting. Context: https://developer.mozilla.org/en-US/docs/Web/API/Server-sent_events, https://www.google.com/search?q=server%20sent%20events%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=server+sent+events+for+backend+developer"
What is Web Sockets?,"Web sockets are defined as a two-way communication between the servers and the clients, which mean both the parties, communicate and exchange data at the same time. This protocol defines a full duplex communication from the ground up. Web sockets take a step forward in bringing desktop rich functionalities to the web browsers. Context: https://socket.io/, https://www.tutorialspoint.com/websockets/index.htm, https://www.youtube.com/watch?v=8ARodQ4Wlf4"
What is Long polling?,"Long polling is a technique where the client polls the server for new data. However, if the server does not have any data available for the client, instead of sending an empty response, the server holds the request and waits for some specified period of time for new data to be available. If new data becomes available during that time, the server immediately sends a response to the client, completing the open request. If no new data becomes available and the timeout period specified by the client expires, the server sends a response indicating that fact. The client will then immediately re-request data from the server, creating a new request-response cycle. Context: https://www.google.com/search?q=long%20polling%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=long+polling+for+backend+developer"
What is Short polling?,"Short polling is a technique where the client repeatedly polls the server for new data. This is the most common approach to polling. It’s simple to implement and understand, but it’s not the most efficient way of doing things. Context: https://www.google.com/search?q=short%20polling%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=short+polling+for+backend+developer"
What is Intro and roadmap?,"GraphQL is a query language and runtime for APIs. It is used to build and consume web service APIs. GraphQL allows clients to make a single API call to request exactly the data they need, in a predictable format. This allows for more efficient and flexible data retrieval, compared to traditional REST APIs where the client has to make multiple API calls to different endpoints, and may receive more data than it needs. With GraphQL, the client defines the structure of the data it needs, by sending a query to the server. The server then returns the requested data in the same structure, as defined by the query. The client can also make mutations to update or create data on the server. Context: https://graphql.org/learn/, https://roadmap.sh/graphql"
What is Intro?,"NoSQL databases offer data storage and retrieval that is modelled differently to “traditional” relational databases. NoSQL databases typically focus more on horizontal scaling, eventual consistency, speed and flexibility and is used commonly for big data and real-time streaming applications. NoSQL is often described as a BASE system (Basically Available, Soft state, Eventual consistency) as opposed to SQL/relational which typically focus on ACID (Atomicity, Consistency, Isolation, Durability). Common NoSQL data structures include key-value pair, wide column, graph and document. Context: https://www.mongodb.com/resources/basics/databases/nosql-explained, https://www.youtube.com/watch?v=0buKQHokLK8, https://www.youtube.com/watch?v=ruz-vK8IesE, https://app.daily.dev/tags/nosql?ref=roadmapsh"
What is NoSQL_Key-value?,"A key-value database (KV database) is a type of database that stores data as a collection of key-value pairs. In a KV database, each piece of data is identified by a unique key, and the value is the data associated with that key. KV databases are designed for fast and efficient storage and retrieval of data, and they are often used in applications that require high performance and low latency. They are particularly well-suited for storing large amounts of unstructured data, such as log data and user profiles. Some popular KV databases include Redis, Memcached, and LevelDB. These databases are often used in combination with other types of databases, such as relational databases or document databases, to provide a complete and scalable data storage solution. Context: https://en.wikipedia.org/wiki/Key%E2%80%93value_database, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is DynamoDB_g?,"DynamoDB is a fully managed NoSQL database service provided by AWS, designed for high-performance applications that require low-latency data access at any scale. It supports key-value and document data models, allowing developers to store and retrieve any amount of data with predictable performance. DynamoDB is known for its seamless scalability, automatic data replication across multiple AWS regions, and built-in security features, making it ideal for use cases like real-time analytics, mobile apps, gaming, IoT, and more. Key features include flexible schema design, powerful query capabilities, and integration with other AWS services. Context: https://www.google.com/search?q=dynamodb%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=dynamodb+for+backend+developer"
What is DocumentDBs_MongoDB_p?,"MongoDB is a source-available cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License (SSPL). Context: https://www.mongodb.com/, https://www.mongodb.com/docs/, https://mongoplayground.net/, https://learn.mongodb.com/catalog, https://docs.aws.amazon.com/dynamodb/, https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Introduction.html"
What is DocumentDBs_CouchDB_g?,"Apache CouchDB is an open-source document-oriented NoSQL database. It uses JSON to store data, JavaScript as its query language using MapReduce, and HTTP for an API. Unlike a relational database, a CouchDB database does not store data and relationships in tables. Instead, each database is a collection of independent documents. Each document maintains its own data and self-contained schema. Context: https://docs.couchdb.org/en/stable/, https://couchdb.apache.org/, https://kkovacs.eu/cassandra-vs-mongodb-vs-couchdb-vs-redis/, https://pouchdb.com/, https://app.daily.dev/tags/couchdb?ref=roadmapsh"
What is Real time?,"A real-time database is broadly defined as a data store designed to collect, process, and/or enrich an incoming series of data points (i.e., a data stream) in real time, typically immediately after the data is created. Example- FireBase_p, RethinkDB_g Context: https://www.google.com/search?q=realtime%20databases%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=realtime+databases+for+backend+developer, https://firebase.google.com/, https://rethinkdb.com/"
What is TimeSeries_infuxDB_p?,"InfluxDB was built from the ground up to be a purpose-built time series database; i.e., it was not repurposed to be time series. Time was built-in from the beginning. InfluxDB is part of a comprehensive platform that supports the collection, storage, monitoring, visualization and alerting of time series data. It’s much more than just a time series database. Context: https://www.influxdata.com/, https://www.influxdata.com/time-series-database/, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is TimeSeries_TimeScale_g?,"TimescaleDB is an open-source time-series database built on top of PostgreSQL, designed for efficiently storing and querying time-series data. It introduces the concept of hypertables, which automatically partition data by time and space, making it ideal for high-volume data scenarios like monitoring, IoT, and financial analytics. TimescaleDB combines the power of relational databases with the performance of a specialized time-series solution, offering advanced features like continuous aggregates, real-time analytics, and seamless integration with PostgreSQL’s ecosystem. It’s a robust choice for developers looking to manage time-series data in scalable and efficient ways. Context: https://www.youtube.com/watch?v=69Tzh_0lHJ8, https://www.google.com/search?q=timescale%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=timescale+for+backend+developer"
What is ColumnDatabases_Cassandra?,"A wide-column database (sometimes referred to as a column database) is similar to a relational database. It store data in tables, rows and columns. However in opposite to relational databases here each row can have its own format of the columns. Column databases can be seen as a two-dimensional key-value database. One of such database system is Apache Cassandra. Context: https://cassandra.apache.org/_/index.html, https://www.youtube.com/watch?v=J-cSy5MeMOA, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is Graph Database?,"A graph database stores nodes and relationships instead of tables, or documents. Data is stored just like you might sketch ideas on a whiteboard. Your data is stored without restricting it to a pre-defined model, allowing a very flexible way of thinking about and using it. Context: https://neo4j.com/docs/getting-started/get-started-with-neo4j/graph-database/, https://app.daily.dev/tags/backend?ref=roadmapsh, https://www.google.com/search?q=graph%20databases%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=graph+databases+for+backend+developer"
What is AWS Neptune?,"AWS Neptune is a fully managed graph database service designed for applications that require highly connected data. It supports two popular graph models: Property Graph and RDF (Resource Description Framework), allowing you to build applications that traverse billions of relationships with millisecond latency. Neptune is optimized for storing and querying graph data, making it ideal for use cases like social networks, recommendation engines, fraud detection, and knowledge graphs. It offers high availability, automatic backups, and multi-AZ (Availability Zone) replication, ensuring data durability and fault tolerance. Additionally, Neptune integrates seamlessly with other AWS services and supports open standards like Gremlin, SPARQL, and Apache TinkerPop, making it flexible and easy to integrate int  existing applications. Context: https://www.google.com/search?q=aws%20neptune%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=aws+neptune+for+backend+developer"
What is Intro?,"Speaking in general terms, scalability is the ability of a system to handle a growing amount of work by adding resources to it. A software that was conceived with a scalable architecture in mind, is a system that will support higher workloads without any fundamental changes to it, but don’t be fooled, this isn’t magic. You’ll only get so far with smart thinking without adding more sources to it. For a system to be scalable, there are certain things you must pay attention to, like: 1.Coupling 2.Observability 3.Evolvability 4.Infrastructure When you think about the infrastructure of a scalable system, you have two main ways of building it: using on-premises resources or leveraging all the tools a cloud provider can give you. The main difference between on-premises and cloud resources will be FLEXIBILITY, on cloud providers you don’t really need to plan ahead, you can upgrade your infrastructure with a couple of clicks, while with on-premises resources you will need a certain level of planning. Context: https://www.sentinelone.com/blog/scalable-architecture/, https://www.youtube.com/watch?v=gxfERVP18-g, https://www.google.com/search?q=building%20for%20scale%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=building+for+scale+for+backend+developer"
What is Migration Strategies?,"Learn how to run database migrations effectively. Especially zero downtime multi-phase schema migrations. Rather than make all changes at once, do smaller incremental changes to allow old code, and new code to work with the database at the same time, before removing old code, and finally removing the parts of the database schema which is no longer used. Context: https://phauer.com/2015/databases-challenge-continuous-delivery/, https://www.google.com/search?q=migration%20strategies%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=migration+strategies+for+backend+developer"
What is Migration_Strategies_Circuit_breaker?,"The circuit breaker design pattern is a way to protect a system from failures or excessive load by temporarily stopping certain operations if the system is deemed to be in a failed or overloaded state. It is commonly used in cloud computing environments to prevent cascading failures and to improve the resilience and availability of a system. A circuit breaker consists of three states: closed, open, and half-open. In the closed state, the circuit breaker allows operations to proceed as normal. If the system encounters a failure or becomes overloaded, the circuit breaker moves to the open state, and all subsequent operations are immediately stopped. After a specified period of time, the circuit breaker moves to the half-open state, and a small number of operations are allowed to proceed. If these operations are successful, the circuit breaker moves back to the closed state; if they fail, the circuit breaker moves back to the open state. The circuit breaker design pattern is useful for protecting a system from failures or excessive load by providing a way to temporarily stop certain operations and allow the system to recover. It is often used in conjunction with other design patterns, such as retries and fallbacks, to provide a more robust and resilient cloud environment Context: https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_mitigate_interaction_failure_graceful_degradation.html, https://mateus4k.github.io/posts/circuit-breakers/"
What is Migration_Strategies_Load_Shifting?,"Load shifting is a design pattern that is used to manage the workload of a system by shifting the load to different components or resources at different times. It is commonly used in cloud computing environments to balance the workload of a system and to optimize the use of resources. There are several ways to implement load shifting in a cloud environment: Scheduling: This involves scheduling the execution of tasks or workloads to occur at specific times or intervals. Load balancing: This involves distributing the workload of a system across multiple resources, such as servers or containers, to ensure that the workload is balanced and that resources are used efficiently. Auto-scaling: This involves automatically adjusting the number of resources that are available to a system based on the workload, allowing the system to scale up or down as needed. Load shifting is an important aspect of cloud design, as it helps to ensure that resources are used efficiently and that the system remains stable and available. It is often used in conjunction with other design patterns, such as throttling and backpressure, to provide a scalable and resilient cloud environment. Context: https://www.google.com/search?q=load%20shifting%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=load+shifting+for+backend+developer"
